Case,alg,viz,inv,scramble
EG2 Pi-6,R'U2RU'R2F2RFR,R' U2 R U' R2 F2 R F R,R' F' R' F2 R2 U R' U2 R,L' U' L U' L2 F2 R F2 L
CLL U-1,FRUR'U'F',F R U R' U' F',F U R U' R' F',F U L F' L' F'
EG1 U-1,RU'R2FR2UR'U'RU'R',R U' R2 F R2 U R' U' R U' R',R U R' U R U' R2 F' R2 U R',U F2 U F U2 F U2 F
EG2 U-1,R'UR'FU'RU'RU2R2,R' U R' F U' R U' R U2 R2,R2 U2 R' U R' U F' R U' R,L2 D' R D' B2 L2 U2 F' U' F'
CLL U-2,R'U'R2UR'U2RU2R'UR',R' U' R2 U R' U2 R U2 R' U R',R U' R U2 R' U2 R U' R2 U R,L2 U2 F U F' U L' F U' F'
EG1 U-2,RU'R'URU'R'FRU2R'FR'F'R,R U' R' U R U' R' F R U2 R' F R' F' R,R' F R F' R U2 R' F' R U R' U' R U R',L2 F2 U F U2 F L2 F
EG2 U-2,FRUR'U'FR2B2,F R U R' U' F R2 B2 z2,B2 R2 F' U R U' R' F',B2 R2 F' U L F' L' F'
CLL U-3,RU2RU'R'FR'F2U'F,R U2 R U' R' F R' F2 U' F,F' U F2 R F' R U R' U2 R',F2 U' F' L' U L2 F L' U F
EG1 U-3,RU'R2F2RF'URUR',R U' R2 F2 R F' U R U R',R U' R' U' F R' F2 R2 U R',F U2 L' U2 L U2 F' U2
EG2 U-3,RUR'U'RB2R'URU'R',R U R' U' R B2 R' U R U' R',R U R' U' R B2 R' U R U' R',F U F L2 F2 U2 F U' F'
CLL U-4,FR'F'RU'RU'R'U2RU'R',F R' F' R U' R U' R' U2 R U' R',R U R' U2 R U R' U R' F R F',L F' U' F L' F' U L' F
EG1 U-4,R'FRF'R'FR2U'R',R' F R F' R' F R2 U' R',R U R2 F' R F R' F' R,F L' F L' U2 L' F' U L'
EG2 U-4,R2F2RURU2R2FRF'R,R2 F2 R U R U2 R2 F R F' R,R' F R' F' R2 U2 R' U' R' F2 R2,F' D' L D' L F2 U' F' U L'
